brand,age,km_class,price
Alfa Romeo,13.0,50-100tkm,9400.0
Alfa Romeo,13.0,100-150tkm,7200.0
Alfa Romeo,13.0,150-200tkm,6400.0
Alfa Romeo,13.0,200-250tkm,
Alfa Romeo,13.0,250-300tkm,
Alfa Romeo,13.0,yli300tkm,
Alfa Romeo,14.0,0-50tkm,
Alfa Romeo,14.0,50-100tkm,
Alfa Romeo,14.0,100-150tkm,6290.0
Alfa Romeo,14.0,150-200tkm,
Alfa Romeo,14.0,200-250tkm,
Alfa Romeo,14.0,250-300tkm,
Alfa Romeo,14.0,yli300tkm,
Alfa Romeo,15.0,0-50tkm,
Alfa Romeo,15.0,50-100tkm,
Alfa Romeo,15.0,100-150tkm,
Alfa Romeo,15.0,150-200tkm,5640.0
Alfa Romeo,15.0,200-250tkm,5900.0
Alfa Romeo,15.0,250-300tkm,
Alfa Romeo,15.0,yli300tkm,
Alfa Romeo,16.0,0-50tkm,
Alfa Romeo,16.0,50-100tkm,
Alfa Romeo,16.0,100-150tkm,
Alfa Romeo,16.0,150-200tkm,
Alfa Romeo,16.0,200-250tkm,
Alfa Romeo,16.0,250-300tkm,
Alfa Romeo,16.0,yli300tkm,
Alfa Romeo,17.0,0-50tkm,
Alfa Romeo,17.0,50-100tkm,
Alfa Romeo,17.0,100-150tkm,
Alfa Romeo,17.0,150-200tkm,5900.0
Alfa Romeo,17.0,200-250tkm,3900.0
Alfa Romeo,17.0,250-300tkm,
Alfa Romeo,17.0,yli300tkm,
Alfa Romeo,18.0,0-50tkm,
Alfa Romeo,18.0,50-100tkm,
Alfa Romeo,18.0,100-150tkm,
Alfa Romeo,18.0,150-200tkm,
Alfa Romeo,18.0,200-250tkm,2400.0
Alfa Romeo,18.0,250-300tkm,
Alfa Romeo,18.0,yli300tkm,
Alfa Romeo,19.0,0-50tkm,
Alfa Romeo,19.0,50-100tkm,
Alfa Romeo,19.0,100-150tkm,
Alfa Romeo,19.0,150-200tkm,
Alfa Romeo,19.0,200-250tkm,
Alfa Romeo,19.0,250-300tkm,
Alfa Romeo,19.0,yli300tkm,
Alfa Romeo,20.0,0-50tkm,
Alfa Romeo,20.0,50-100tkm,
Alfa Romeo,20.0,100-150tkm,
Alfa Romeo,20.0,150-200tkm,
Alfa Romeo,20.0,200-250tkm,
Alfa Romeo,20.0,250-300tkm,
Alfa Romeo,20.0,yli300tkm,
Aston Martin,0.0,0-50tkm,
Aston Martin,0.0,50-100tkm,
Aston Martin,0.0,100-150tkm,
Aston Martin,0.0,150-200tkm,
Aston Martin,0.0,200-250tkm,
Aston Martin,0.0,250-300tkm,
Aston Martin,0.0,yli300tkm,
Aston Martin,1.0,0-50tkm,
Aston Martin,1.0,50-100tkm,
Aston Martin,1.0,100-150tkm,
Aston Martin,1.0,150-200tkm,
Aston Martin,1.0,200-250tkm,
Aston Martin,1.0,250-300tkm,
Aston Martin,1.0,yli300tkm,
Aston Martin,2.0,0-50tkm,
Aston Martin,2.0,50-100tkm,
Aston Martin,2.0,100-150tkm,
Aston Martin,2.0,150-200tkm,
Aston Martin,2.0,200-250tkm,
Aston Martin,2.0,250-300tkm,
Aston Martin,2.0,yli300tkm,
Aston Martin,3.0,0-50tkm,
Aston Martin,3.0,50-100tkm,
Aston Martin,3.0,100-150tkm,
Aston Martin,3.0,150-200tkm,
Aston Martin,3.0,200-250tkm,
Aston Martin,3.0,250-300tkm,
Aston Martin,3.0,yli300tkm,
Aston Martin,4.0,0-50tkm,
Aston Martin,4.0,50-100tkm,
Aston Martin,4.0,100-150tkm,
Aston Martin,4.0,150-200tkm,
Aston Martin,4.0,200-250tkm,
Aston Martin,4.0,250-300tkm,
Aston Martin,4.0,yli300tkm,
Aston Martin,5.0,0-50tkm,259000.0
Aston Martin,5.0,50-100tkm,
Aston Martin,5.0,100-150tkm,
Aston Martin,5.0,150-200tkm,
Aston Martin,5.0,200-250tkm,
Aston Martin,5.0,250-300tkm,
Aston Martin,5.0,yli300tkm,
Aston Martin,6.0,0-50tkm,
Aston Martin,6.0,50-100tkm,
Aston Martin,6.0,100-150tkm,
Aston Martin,6.0,150-200tkm,
Aston Martin,6.0,200-250tkm,
Aston Martin,6.0,250-300tkm,
Aston Martin,6.0,yli300tkm,
Aston Martin,7.0,0-50tkm,
Aston Martin,7.0,50-100tkm,
Aston Martin,7.0,100-150tkm,
Aston Martin,7.0,150-200tkm,
Aston Martin,7.0,200-250tkm,
Aston Martin,7.0,250-300tkm,
Aston Martin,7.0,yli300tkm,
Aston Martin,8.0,0-50tkm,
Aston Martin,8.0,50-100tkm,
Aston Martin,8.0,100-150tkm,
Aston Martin,8.0,150-200tkm,
Aston Martin,8.0,200-250tkm,
Aston Martin,8.0,250-300tkm,
Aston Martin,8.0,yli300tkm,
Aston Martin,9.0,0-50tkm,
Aston Martin,9.0,50-100tkm,
Aston Martin,9.0,100-150tkm,
Aston Martin,9.0,150-200tkm,
Aston Martin,9.0,200-250tkm,
Aston Martin,9.0,250-300tkm,
Aston Martin,9.0,yli300tkm,
Aston Martin,10.0,0-50tkm,
Aston Martin,10.0,50-100tkm,
Aston Martin,10.0,100-150tkm,
Aston Martin,10.0,150-200tkm,
Aston Martin,10.0,200-250tkm,
Aston Martin,10.0,250-300tkm,
Aston Martin,10.0,yli300tkm,
Aston Martin,11.0,0-50tkm,
Aston Martin,11.0,50-100tkm,
Aston Martin,11.0,100-150tkm,
Aston Martin,11.0,150-200tkm,
Aston Martin,11.0,200-250tkm,
Aston Martin,11.0,250-300tkm,
Aston Martin,11.0,yli300tkm,
Aston Martin,12.0,0-50tkm,109800.0
Aston Martin,12.0,50-100tkm,
Aston Martin,12.0,100-150tkm,
Aston Martin,12.0,150-200tkm,
Aston Martin,12.0,200-250tkm,
Aston Martin,12.0,250-300tkm,
Aston Martin,12.0,yli300tkm,
Aston Martin,13.0,0-50tkm,
Aston Martin,13.0,50-100tkm,
Aston Martin,13.0,100-150tkm,
Aston Martin,13.0,150-200tkm,
Aston Martin,13.0,200-250tkm,
Aston Martin,13.0,250-300tkm,
Aston Martin,13.0,yli300tkm,
Aston Martin,14.0,0-50tkm,
Aston Martin,14.0,50-100tkm,
Aston Martin,14.0,100-150tkm,
Aston Martin,14.0,150-200tkm,
Aston Martin,14.0,200-250tkm,
Aston Martin,14.0,250-300tkm,
Aston Martin,14.0,yli300tkm,
Aston Martin,15.0,0-50tkm,
Aston Martin,15.0,50-100tkm,
Aston Martin,15.0,100-150tkm,
Aston Martin,15.0,150-200tkm,
Aston Martin,15.0,200-250tkm,
Aston Martin,15.0,250-300tkm,
Aston Martin,15.0,yli300tkm,
Aston Martin,16.0,0-50tkm,
Aston Martin,16.0,50-100tkm,
Aston Martin,16.0,100-150tkm,
Aston Martin,16.0,150-200tkm,
Aston Martin,16.0,200-250tkm,
Aston Martin,16.0,250-300tkm,
Aston Martin,16.0,yli300tkm,
Aston Martin,17.0,0-50tkm,84900.0
Aston Martin,17.0,50-100tkm,
Aston Martin,17.0,100-150tkm,
Aston Martin,17.0,150-200tkm,
Aston Martin,17.0,200-250tkm,
Aston Martin,17.0,250-300tkm,
Aston Martin,17.0,yli300tkm,
Aston Martin,18.0,0-50tkm,
Aston Martin,18.0,50-100tkm,
Aston Martin,18.0,100-150tkm,
Aston Martin,18.0,150-200tkm,
Aston Martin,18.0,200-250tkm,
Aston Martin,18.0,250-300tkm,
Aston Martin,18.0,yli300tkm,
Aston Martin,19.0,0-50tkm,
Aston Martin,19.0,50-100tkm,77900.0
Aston Martin,19.0,100-150tkm,
Aston Martin,19.0,150-200tkm,
Aston Martin,19.0,200-250tkm,
Aston Martin,19.0,250-300tkm,
Aston Martin,19.0,yli300tkm,
Aston Martin,20.0,0-50tkm,
Aston Martin,20.0,50-100tkm,
Aston Martin,20.0,100-150tkm,
Aston Martin,20.0,150-200tkm,
Aston Martin,20.0,200-250tkm,
Aston Martin,20.0,250-300tkm,
Aston Martin,20.0,yli300tkm,
Audi,0.0,0-50tkm,59900.0
Audi,0.0,50-100tkm,62900.0
